date,op_type,flight,airline,tail_id,origin,destination,sched_time_local,actual_time_local,delay_min,hour,dow,status,propagated_from_prev,cascade_caused
2025-08-10,ARRIVAL,G8314,G8,VT-A000,DEL,BOM,2025-08-10 09:14:00,2025-08-10 09:12:00,-2,9,Sunday,ON_TIME,0.0,2.0
2025-08-10,DEPARTURE,SG971,SG,VT-A000,BOM,HYD,2025-08-10 09:55:00,2025-08-10 10:21:00,26,9,Sunday,DELAYED,2.0,0.0
2025-08-10,ARRIVAL,UK260,UK,VT-A000,HYD,BOM,2025-08-10 13:03:00,2025-08-10 13:05:00,2,13,Sunday,ON_TIME,0.0,0.0
2025-08-10,DEPARTURE,6E352,6E,VT-A000,BOM,AMD,2025-08-10 14:00:00,2025-08-10 14:18:00,18,14,Sunday,DELAYED,0.0,0.0
2025-08-10,ARRIVAL,QR575,QR,VT-A000,AMD,BOM,2025-08-10 17:11:00,2025-08-10 17:33:00,22,17,Sunday,DELAYED,0.0,0.0
2025-08-10,DEPARTURE,6E662,6E,VT-A000,BOM,LHR,2025-08-10 18:32:00,2025-08-10 18:22:00,-10,18,Sunday,ON_TIME,0.0,0.0
2025-08-11,ARRIVAL,QP918,QP,VT-A000,LHR,BOM,2025-08-11 02:41:00,2025-08-11 02:45:00,4,2,Monday,ON_TIME,0.0,0.0
2025-08-11,ARRIVAL,QP346,QP,VT-A000,PNQ,BOM,2025-08-11 09:53:00,2025-08-11 10:20:00,27,9,Monday,DELAYED,0.0,3.0
2025-08-11,DEPARTURE,6E105,6E,VT-A000,BOM,CCU,2025-08-11 11:02:00,2025-08-11 11:09:00,7,11,Monday,ON_TIME,3.0,0.0
2025-08-11,ARRIVAL,BA898,BA,VT-A000,CCU,BOM,2025-08-11 14:09:00,2025-08-11 14:14:00,5,14,Monday,ON_TIME,0.0,0.0
2025-08-11,DEPARTURE,BA801,BA,VT-A000,BOM,LHR,2025-08-11 15:30:00,2025-08-11 15:51:00,21,15,Monday,DELAYED,0.0,0.0
2025-08-12,ARRIVAL,EK824,EK,VT-A000,LHR,BOM,2025-08-12 01:33:00,2025-08-12 01:27:00,-6,1,Tuesday,ON_TIME,0.0,0.0
2025-08-12,DEPARTURE,QR482,QR,VT-A000,BOM,AMD,2025-08-12 02:46:00,2025-08-12 02:57:00,11,2,Tuesday,DELAYED,0.0,0.0
2025-08-12,DEPARTURE,QP988,QP,VT-A000,BOM,BLR,2025-08-12 07:03:00,2025-08-12 07:36:00,33,7,Tuesday,DELAYED,0.0,0.0
2025-08-12,ARRIVAL,AI767,AI,VT-A000,BLR,BOM,2025-08-12 10:50:00,2025-08-12 11:15:00,25,10,Tuesday,DELAYED,0.0,0.0
2025-08-12,DEPARTURE,6E526,6E,VT-A000,BOM,CCU,2025-08-12 12:13:00,2025-08-12 12:19:00,6,12,Tuesday,ON_TIME,0.0,0.0
2025-08-12,ARRIVAL,SG560,SG,VT-A000,CCU,BOM,2025-08-12 14:30:00,2025-08-12 14:20:00,-10,14,Tuesday,ON_TIME,0.0,0.0
2025-08-13,ARRIVAL,6E775,6E,VT-A000,GOI,BOM,2025-08-13 07:14:00,2025-08-13 08:00:00,46,7,Wednesday,DELAYED,0.0,17.0
2025-08-13,DEPARTURE,AI267,AI,VT-A000,BOM,MAA,2025-08-13 08:28:00,2025-08-13 09:06:00,38,8,Wednesday,DELAYED,17.0,0.0
2025-08-13,ARRIVAL,EK948,EK,VT-A000,MAA,BOM,2025-08-13 12:16:00,2025-08-13 12:18:00,2,12,Wednesday,ON_TIME,0.0,0.0
2025-08-13,DEPARTURE,UK676,UK,VT-A000,BOM,TRV,2025-08-13 13:21:00,2025-08-13 13:18:00,-3,13,Wednesday,ON_TIME,0.0,0.0
2025-08-13,ARRIVAL,QP943,QP,VT-A000,TRV,BOM,2025-08-13 15:47:00,2025-08-13 15:56:00,9,15,Wednesday,ON_TIME,0.0,0.0
